X,Y,site_id,location,site_on,site_at,corn_desc,New,NewStatus,NewMod,Replacemen,Replacem_1,Replacem_2,Remove,RemoveStat,AddLight,AddLightSt,SolarLight,SolarLig_1,AddHeat,AddHeatSta,AddPad,AddPadStat,Comments,TextDescri
,,49979,On Pedersen St at Sun Ray Transit Center - Gate G Near side S,Pedersen St,Sun Ray Transit Center - Gate G,Near side S,2021,Programmed,New shelter,0,,,0,,0,,0,,0,,0,,Route 63 Better Bus Routes,For stop number 49979 located on Pedersen St at Sun Ray Transit Center - Gate G Near side S:  adding a new shelter in 2021  Comments: Route 63 Better Bus Routes
,,9667,On Penn Ave N at 41st Ave N Near side S,Penn Ave N,41st Ave N,Near side S,0,,,0,,,2020,Programmed,0,,0,,0,,0,,,For stop number 9667 located on Penn Ave N at 41st Ave N Near side S:  removing shelter in 2020
,,17696,On Plymouth Ave at Humboldt Ave N Near side E,Plymouth Ave,Humboldt Ave N,Near side E,0,,,0,,,0,,2020,Programmed,0,,0,,0,,,For stop number 17696 located on Plymouth Ave at Humboldt Ave N Near side E:  adding light in 2020
,,13225,On Riverside Ave at 20th Ave S Near side W,Riverside Ave,20th Ave S,Near side W,2020,Programmed,New shelter,0,,,0,,2020,Programmed,0,,0,,0,,,For stop number 13225 located on Riverside Ave at 20th Ave S Near side W:  adding a new shelter in 2020  adding light in 2020
,,49952,On Robert St at 6th St / 5th St Mid block S,Robert St,6th St / 5th St,Mid block S,0,,,2020,Programmed,Replacement shelter,0,,0,,0,,0,,0,,,For stop number 49952 located on Robert St at 6th St / 5th St Mid block S:  replacing shelter in 2020
,,44366,On Southtown Service Rd at Kohls Entrance Near side W,Southtown Service Rd,Kohls Entrance,Near side W,0,,,0,,,2020,Programmed,0,,0,,0,,0,,,For stop number 44366 located on Southtown Service Rd at Kohls Entrance Near side W:  removing shelter in 2020
,,13621,On Suburban Ave at #1990 Far side E,Suburban Ave,#1990,Far side E,0,,,0,,,0,,0,,0,,0,,2020,Programmed,Route 63 Better Bus Routes,For stop number 13621 located on Suburban Ave at #1990 Far side E:  adding a boarding pad in 2020  Comments: Route 63 Better Bus Routes
,,18640,On Territorial Rd at Westgate Dr Near side W,Territorial Rd,Westgate Dr,Near side W,0,,,0,,,0,,0,,0,,0,,2020,Programmed,Route 63 Better Bus Routes,For stop number 18640 located on Territorial Rd at Westgate Dr Near side W:  adding a boarding pad in 2020  Comments: Route 63 Better Bus Routes
,,15876,On University Ave at Carleton St Near side W,University Ave,Carleton St,Near side W,2021,Programmed,New shelter,0,,,0,,2021,Programmed,0,,0,,0,,Route 63 Better Bus Routes,For stop number 15876 located on University Ave at Carleton St Near side W:  adding a new shelter in 2021  adding light in 2021  Comments: Route 63 Better Bus Routes
,,15856,On University Ave at Griggs St Near side W,University Ave,Griggs St,Near side W,0,,,0,,,2020,Programmed,0,,0,,0,,0,,,For stop number 15856 located on University Ave at Griggs St Near side W:  removing shelter in 2020
,,15868,On University Ave at Lynnhurst Ave Across from W,University Ave,Lynnhurst Ave,Across from W,0,,,0,,,2020,Programmed,0,,0,,0,,0,,,For stop number 15868 located on University Ave at Lynnhurst Ave Across from W:  removing shelter in 2020
,,15821,On University Ave at Oxford St Near side E,University Ave,Oxford St,Near side E,0,,,0,,,2020,Programmed,0,,0,,0,,0,,,For stop number 15821 located on University Ave at Oxford St Near side E:  removing shelter in 2020
,,56250,On Vandalia St at Wabash Ave Across from S,Vandalia St,Wabash Ave,Across from S,0,,,0,,,0,,0,,0,,0,,2020,Programmed,Route 63 Better Bus Routes,For stop number 56250 located on Vandalia St at Wabash Ave Across from S:  adding a boarding pad in 2020  Comments: Route 63 Better Bus Routes
,,20029,On Wabasha St at 6th St Near side N,Wabasha St,6th St,Near side N,0,,,2021,Programmed,Replacement shelter,0,,2021,Programmed,0,,2021,Programmed,0,,,For stop number 20029 located on Wabasha St at 6th St Near side N:  replacing shelter in 2021  adding light in 2021  adding heat in 2021
,,40179,On Washington Ramp at Cedar Ave S Far side W,Washington Ramp,Cedar Ave S,Far side W,0,,,0,,,2020,Programmed,0,,0,,0,,0,,,For stop number 40179 located on Washington Ramp at Cedar Ave S Far side W:  removing shelter in 2020
,,8328,On West Broadway at Logan Ave Across from E,West Broadway,Logan Ave,Across from E,0,,,0,,,0,,2020,In process,0,,0,,0,,,For stop number 8328 located on West Broadway at Logan Ave Across from E:  adding light in 2020
,,6243,On Xerxes Ave S at 50th St W Near side N,Xerxes Ave S,50th St W,Near side N,0,,,2021,Programmed,Replacement shelter,0,,0,,0,,0,,0,,,For stop number 6243 located on Xerxes Ave S at 50th St W Near side N:  replacing shelter in 2021
,,44199,On York Ave S at Cub Foods Far side N,York Ave S,Cub Foods,Far side N,0,,,0,,,0,,0,,0,,0,,2020,Programmed,,For stop number 44199 located on York Ave S at Cub Foods Far side N:  adding a boarding pad in 2020
